"","country","neet_male","relative_wc_male","mismatch_male","workingpov_male","underemp_male","informal_male","elementary_male","nosecondary_male","literacy_male","test_scores_male","country_code","transition_mean_male","working_conditions_mean_male","education_mean_male","transition_geom_male","working_conditions_geom_male","education_geom_male","index_mean_male","index_geom_male","neet_female","relative_wc_female","mismatch_female","workingpov_female","underemp_female","informal_female","elementary_female","nosecondary_female","literacy_female","test_scores_female","transition_mean_female","working_conditions_mean_female","education_mean_female","transition_geom_female","working_conditions_geom_female","education_geom_female","index_mean_female","index_geom_female","neet","relative_wc","mismatch","workingpov","underemp","informal","elementary","nosecondary","literacy","test_scores","transition_mean","working_conditions_mean","education_mean","transition_geom","working_conditions_geom","education_geom","index_mean","index_geom"
"35","Gambia",54.7195,91.22328641306,82.4637113845961,88.7185971,94.7117,12.7,59.3792516123672,63.3,70.74348,11.0769230769231,"GMB",76.1354992658854,63.8773871780918,48.3734676923077,74.3881178518896,50.1723201180004,36.7425891431477,62.7954513787616,51.5678672896104,46.5381,96.0960413368817,82.3859730066887,90.080234405,90.5147,16.1,56.986439473445,55.5,64.44683,12.3076923076923,75.0067047811902,63.4203434696112,44.0848407692308,71.6895421947649,52.2981716016385,35.309404342559,60.8372963400107,50.965650065351,50.4539,92.8777443309899,83.3786352253667,89.30248943,92.7645,14,58.4558671118382,59.4,67.16138,11.6923076923077,75.5700931854522,63.6307141354595,46.0845625641026,73.1061188052187,51.0270403285544,35.9972035605591,61.7617899616714,51.2083705701195
"36","Burundi",93.56,91.0485578312926,NA,23.92914935,89.7855,1.09999999999999,NA,44.6,91.03415,35.3846153846154,"BDI",92.3042789156463,38.2715497833333,57.0062551282051,92.2957370125822,13.3201377768578,52.3742591986595,62.5273612757282,40.0807725698925,94.02,85.4626747017322,NA,27.47161037,90.2945,0.299999999999997,NA,42.2,85.61855,40.6153846153846,89.7413373508661,39.3553701233333,56.1446448717949,89.6392808731577,9.0619617242265,52.7460930488313,61.7471174486648,34.9921231880024,93.81,88.9853930798832,NA,25.87471643,90.0963,0.599999999999994,NA,43.4,88.22177,37.8461538461538,91.3976965399416,38.8570054766667,56.489307948718,91.3658564499006,11.1835049711271,52.5245591051994,62.2480033217754,37.7202671657439
"37","Mali",85.0287,NA,93.5688078597627,50.27393762,100,4.59999999999999,97.8069054171682,45.3,57.83326,2.15384615384615,"MLI",89.2987539298813,63.1702107592921,35.0957020512821,89.1966035948981,38.780871361185,17.8031500243824,62.5215555801518,39.4900403441201,63.1487,NA,87.2374594476948,52.19788202,100,3.40000000000001,91.3097680022638,33.9,43.39811,2.15384615384615,75.1930797238474,61.7269125055659,26.4839853846154,74.2221810203974,35.6789659760579,14.6879684562646,54.4679925380096,33.8820152968249,73.284,NA,51.0965942694821,51.15061863,100,4,95.3865004993815,39.6,50.1347,2.15384615384615,62.190297134741,62.6342797823454,30.6295153846154,61.1928330316935,37.3765704488237,16.2311551275481,51.8180307672339,33.3592654626125
"38","Côte d'Ivoire",74.6412,85.7789132660438,72.605676106359,72.58320321,93.3692,1,88.1489177257996,49.6,63.84492,23.0769230769231,"CIV",77.6752631241343,63.7753302339499,45.507281025641,77.4657819214991,27.8012413606467,41.808248652871,62.3192914612417,44.8207057616408,55.839,98.5807955713507,62.140647598813,78.05171346,90.2503,0.599999999999994,80.5068220264398,30,53.0251,21.8461538461538,72.1868143900546,62.35220887161,34.9570846153846,69.9361802648906,24.1520365571627,32.6331687106411,56.498702625683,38.0573289459177,65.1728,91.2848767344812,54.5044888154523,74.98286619,91.9285,0.799999999999997,84.6188854477538,39.8,58.42015,22.4615384615385,70.3207218499779,63.0825629094385,40.2272294871795,68.7014380979984,26.1361957793051,37.379063213928,57.8768380821986,40.6392363521616
"39","Mauritania",77.3062,80.2414736574985,NA,95.686101885,96.4748,2.59999999999999,NA,NA,70.93633,12.3076923076923,"MRT",78.7738368287493,64.9203006283333,41.6220111538462,78.7601638575067,28.8455416978123,29.5476314292182,61.7720495369763,40.6414624909237,54.795,NA,NA,96.166646549,96.7521,0.5,90.1657334266573,NA,56.76072,13.2307692307692,NA,70.8961199939143,34.9957446153846,NA,25.4491979052266,27.4041600435465,NA,NA,64.472,88.452361031588,79.1734221183021,95.8384353,96.5753,1.8,94.6676380322236,NA,63.94781,12.9230769230769,77.3659277166301,72.2203433330559,38.4354434615385,76.7161258947594,35.4380614434286,28.7472166947047,62.6739048370748,42.7547273137306
"40","Ethiopia",94.3372,94.3859068731768,76.8877458471873,71.27836291,81.2433,7.09999999999999,62.9807316408374,26.2,73.52072,19.3846153846154,"ETH",88.536950906788,55.6505986377094,39.7017784615385,88.135137794742,40.1146336715267,33.4238194844527,61.2964426686786,49.0722530884402,84.8725,99.3303384514854,77.1534191458378,74.80647044,74.6356,6.5,50.8220196175302,25.8,71.97251,17.2307692307692,87.1187525324411,51.6910225143826,38.3344264102564,86.6432422980052,36.8521319234527,31.746584421992,59.04806715236,46.6263522082682,89.5185,96.5657341362328,81.733208352793,72.92159264,78.0924,6.8,57.1828770210654,26,72.75482,18.1538461538462,89.2724808296752,53.7492174152664,38.9695553846154,89.0659005279721,38.5753573164977,32.5038338798664,60.6637512098523,48.1561771647218
"41","Malawi",76.4068,NA,95.7207125493925,35.29231636,NA,8.59999999999999,86.5603627862926,35.1,72.49172,NA,"MWI",86.0637562746963,43.4842263820975,53.79586,85.520251049789,29.7280138235178,50.4426344672837,61.1146142189313,50.4286730545974,58.6081,NA,88.3417071165694,34.98506952,NA,8.5,80.9132343461009,27.6,73.3858,NA,73.4749035582847,41.4661012887003,50.4929,71.955122158597,28.8695762631147,45.0049783912847,55.144634948995,45.3858939437887,67.0997,NA,96.1974954385559,35.14226589,NA,8.5,83.8240952434467,33.05,72.93561,18.1538461538462,81.6485977192779,42.4887870444823,41.3798187179487,80.3419136234536,29.2553874083856,35.2392436140848,55.1724011605696,43.5904682691194
"42","Tanzania, United Republic of",89.378,89.4363561748131,65.7090144352587,59.72133765,84.06,2.7,58.032824723161,36.4,87.0131,25.2307692307692,"TZA",81.5077902033573,51.1285405932903,49.5479564102564,80.684459518102,29.780987659963,43.0730381271137,60.7280957356346,46.9509984262111,80.9617,96.9309338915299,77.3042399351069,56.58519494,86.64,2.7,67.9645399326727,35.7,84.6408,29.2307692307692,85.0656246088789,53.4724337181682,49.8571897435897,84.6541870404692,30.7975983932869,44.5344479661793,62.7984160235456,48.7850913686042,85.068,93.2213265741775,72.7119192133462,58.21733709,85.33,2.7,62.13105447958,36.3,85.75514,27.0769230769231,83.6670819291746,52.094597892395,49.7106876923077,83.2330296429808,30.2138899281397,43.8451976486485,61.8241225046257,47.9521546195799
"43","Sudan",80.0198,NA,82.3106832850981,94.574499546,NA,6.09999999999999,NA,NA,72.51,21.8461538461538,"SDN",81.1652416425491,50.337249773,47.1780769230769,81.1571587374576,24.0188352596582,39.8003092372988,59.5601894462087,42.650265730902,53.576,NA,53.8696004614935,95.72329238,NA,3.5,NA,NA,73.49,27.3846153846154,53.7228002307468,49.61164619,50.4373076923077,53.7225996608967,18.303866349217,44.8608446712206,51.2572513710182,35.3336986625404,67.1898,NA,74.3823036983484,94.90855505,NA,5.40000000000001,NA,NA,73,24.6153846153846,70.7860518491742,50.154277525,48.8076923076923,70.694639888971,22.6385997197265,42.3901294751865,56.5826738939555,40.7849809157768
"44","Congo, Democratic Republic of the",83.5686,NA,73.123528850947,29.36041506,NA,1.09999999999999,88.4815942600828,78.2,90.96097,6.15384615384615,"COD",78.3460644254735,39.6473364400276,58.4382720512821,78.1718039521492,14.1906603365025,35.2427257428955,58.8105576389277,33.9396539419777,74.2116,NA,61.156725344229,29.55990434,NA,0.700000000000003,90.4137629294325,59,79.71484,4.92307692307692,67.6841626721145,40.2245557564775,47.8793056410256,67.3686754994915,12.3219242972887,28.5020394824954,51.9293413565392,28.7080808643875,78.6405,NA,64.5514460797527,29.47108735,NA,0.799999999999997,89.6173554078502,68.6,84.98951,5.53846153846154,71.5959730398763,39.9628142526167,53.0426571794872,71.2485648657908,12.8319528989409,31.8438958672875,54.8671481573267,30.7632128903914
"45","Rwanda",75.4056,93.1719783143874,79.9562402790137,46.78355091,83.2808,2.5,31.238472277228,38,84.32593,15.6923076923077,"RWA",82.8446061978004,40.950705796807,46.0060792307692,82.5113628451399,23.486427756577,36.9099834474438,56.6004637417922,41.5105217803476,63.8281,99.0749465538319,80.8001607882854,49.59528298,77.717,2.2,28.364668701497,40.5,88.50182,20,81.2344024473724,39.4692379203742,49.6672733333333,79.9458632147732,22.1456891265809,41.5412034187245,56.7903045670267,41.8974980703184,69.3778,96.08599126816,82.3948275676248,48.19208333,80.7203,2.40000000000001,29.9159356156791,38.7,86.49277,17.8461538461538,82.6195396119283,40.3070797364198,47.6796412820513,81.8955271440819,22.9888938529973,39.0911518879352,56.8687535434664,41.9069038069046
"46","Benin",89.1083,92.1778118409962,63.5929533942126,45.86417115,64.96,1.40000000000001,NA,56.4,69.76118,25.8461538461538,"BEN",81.626355078403,37.40805705,50.6691112820513,80.534972722981,16.0971577625684,46.6762849387029,56.5678411368181,39.2593706116682,76.8195,94.3141308530154,69.7449832528787,62.0609722,55.23,1.09999999999999,73.8341579074146,41,51.94362,25.8461538461538,80.2928713686313,48.0562825268537,39.5965912820513,79.650237010173,22.9699953491319,38.0397217483489,55.9819150591788,41.1334468717899,82.7657,94.3887593840921,67.6846080196152,54.51231981,59.73,1.2,78.2506045590504,48.7,60.94808,25.8461538461538,81.6130224679024,48.4232310922626,45.1647446153846,80.8636851932158,23.5146777586315,42.4908062470519,58.4003327251832,43.2310560166243
"47","Madagascar",95.8745,90.5816668001146,72.9718355773194,26.92229107,62.38,2.5,27.3612923588724,NA,81.71984,15.3846153846154,"MDG",86.476000792478,29.7908958572181,48.5522276923077,85.8946729233879,18.4101997349425,35.4574154119037,54.9397081140013,38.2745948305035,90.7128,97.8595892382657,NA,27.14112922,46.17,2.3,20.6248624170571,45.2,80.67803,16,94.2861946191329,24.0589979092643,47.2926766666667,94.2184554461224,15.6144492639278,38.7856642968843,55.2126230650213,38.498572678768,93.2158,94.8518063533902,68.1252716708537,27.02889873,54.16,2.40000000000001,24.0666546953448,NA,81.19837,15.6923076923077,85.3976260080813,26.9138883563362,48.4453388461538,84.4528794219235,17.0523207814186,35.6957953567902,53.5856177368571,37.1824788406901
"48","Nigeria",81.7167,NA,73.2179611199503,43.77585871,NA,1,NA,69.8,81.58064,8.92307692307692,"NGA",77.4673305599752,22.387929355,53.4345723076923,77.3506959467763,6.61633272364684,37.0384146354766,51.0966107408892,26.663141486283,75.4803,NA,58.018063719636,55.41044614,NA,0.700000000000003,NA,60.8,68.26263,6.46153846153846,66.749181859818,28.05522307,45.1747228205128,66.1756817492441,6.2279460737871,29.9323519583806,46.6597092501103,23.106173866408,78.6401,NA,66.5494042543668,48.54797292,NA,0.900000000000006,NA,65.3,75.02875,7.69230769230769,72.5947521271834,24.72398646,49.3403525641026,72.3426002124878,6.61008136319064,33.5273462814169,48.8863637170953,25.2154486566103
"49","Bolivia",94.9785,83.5834126070229,81.3166257503623,94.329470485,96.29,7.09999999999999,93.9857819265894,NA,99.39402,NA,"BOL",86.6261794524617,72.9263131028974,NA,86.4254371332343,49.617773553274,NA,NA,NA,81.8084,75.7802697976197,76.9038692955314,90.29315388,94.576,5,90.7912131568115,NA,99.40421,NA,78.164179697717,70.1650917592029,NA,78.1209313740384,44.3723466443005,NA,NA,NA,88.3646,80.0472645141178,79.276577201893,92.602523519,95.5255,6.3,92.5608119569298,NA,99.39917,NA,82.562813905337,71.7472088689825,NA,82.4625133451804,47.6570835646287,NA,NA,NA
"50","Cape Verde",72.32,52.6468518010657,92.3440759745124,96.4613646,77.89,24.5,44.6599407605797,NA,97.58501,NA,"CPV",72.4369759251927,60.8778263401449,NA,70.5797238052159,53.5463451525133,NA,NA,NA,67.17,83.9960459184451,96.7160646805899,97.346733668,79.1,36.4,NA,NA,98.73018,NA,82.6273701996783,70.9489112226667,NA,81.7167217996585,65.4434848017497,NA,NA,NA,69.75,67.7634546375535,98.6570243088538,96.826779492,78.38,29.4,47.3470657451614,NA,98.11131,NA,78.7234929821358,62.9884613092904,NA,77.5453786383567,57.0112136823065,NA,NA,NA
"51","Micronesia, Federated States of",81.7005,NA,NA,NA,94.4091,NA,85.1337912532667,NA,NA,NA,"FSM",NA,89.7714456266334,NA,NA,89.6515733928233,NA,NA,NA,70.8715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.3101,NA,NA,NA,96.3387,NA,86.9592774520678,NA,NA,NA,NA,91.6489887260339,NA,NA,91.5289229843306,NA,NA,NA
"52","Kenya",90.8041,NA,72.7519591814584,64.66512532,NA,NA,NA,52.9,87.59,NA,"KEN",81.7780295907292,NA,70.245,81.2783868978037,NA,68.0698978991448,NA,NA,81.759,NA,77.0906183773712,67.75843121,NA,NA,NA,53.5,88.08,NA,79.4248091886856,NA,70.79,79.3905023785307,NA,68.6460486845383,NA,NA,86.2689,NA,74.8560800354912,66.14677895,NA,NA,NA,51.75,87.83,47.6923076923077,80.5624900177456,NA,62.4241025641026,80.3601374001674,NA,60.0713222366648,NA,NA
"53","Kiribati",53.81,NA,NA,NA,NA,NA,68.7344913151365,NA,NA,22.1538461538462,"KIR",NA,NA,NA,NA,NA,NA,NA,NA,52.4027,NA,NA,NA,NA,NA,84.929178470255,NA,NA,28.9230769230769,NA,NA,NA,NA,NA,NA,NA,NA,53.1097,NA,NA,NA,NA,NA,74.9672917575229,NA,NA,25.5384615384615,NA,NA,NA,NA,NA,NA,NA,NA
"54","Sri Lanka",83.225,69.4841305773091,89.648445884233,99.631996976,97.1802,15.6,72.2738954544302,NA,98.50948,NA,"LKA",80.785858820514,71.1715231076076,NA,80.3330147589247,57.4805177455084,NA,NA,NA,67.8434,100,76.8522975952065,99.804058467,96.7184,32,85.0605246929717,NA,99.04459,NA,81.5652325317355,78.3957457899929,NA,80.4862117334259,71.5951882355244,NA,NA,NA,75.2778,84.8413252817685,81.321468072864,99.683583194,97.0357,21.1,76.7590163823227,NA,98.78194,30.7692307692308,80.4801977848775,73.6445748940807,64.7755853846154,80.3821942892515,62.9131977400921,55.1311555084084,72.9667860211912,65.3280313276418
"55","Niger",43.1429,NA,NA,54.69843518,NA,1.40000000000001,84.6454093624393,32.1,48.55718,2.15384615384615,"NER",NA,46.9146148474798,27.6036753846154,NA,18.6452745418127,14.9735366317557,NA,NA,22.8976,NA,NA,57.09752199,NA,1.3,NA,14.9,31.64391,0.615384615384615,NA,29.198760995,15.7197648717949,NA,8.61549642139092,6.62024935877322,NA,NA,31.4357,NA,NA,55.66842999,NA,1.3,87.0534873712242,23.5,39.78773,1.53846153846154,NA,48.0073057870747,21.6087305128205,NA,18.4691184397046,11.2884562961166,NA,NA
"56","Papua New Guinea",73.5597,NA,58.6062078452175,68.63145808,NA,NA,NA,35.6,64.57,16.9230769230769,"PNG",66.0829539226087,NA,39.0310256410256,65.6586252310528,NA,33.8833782758601,NA,NA,71.0163,NA,68.7765642971844,70.51292984,NA,NA,NA,31.5,71.4,18.4615384615385,69.8964321485922,NA,40.4538461538462,69.8874604138549,NA,34.6278519194113,NA,NA,72.3161,NA,62.5124664736795,69.57306279,NA,NA,NA,33.55,67.9,17.8461538461538,67.4142832368397,NA,39.7653846153846,67.2358369975213,NA,34.3849959181766,NA,NA
"57","Solomon Islands",94.9038,97.2004435114754,NA,77.87241439,95.8374,NA,96.9511791129819,NA,NA,15.6923076923077,"SLB",96.0521217557377,90.2203311676606,NA,96.0452573057325,89.7753801471988,NA,NA,NA,91.0565,89.1327211757937,NA,77.12698229,97.5904,NA,NA,NA,NA,22.4615384615385,90.0946105878968,87.358691145,NA,90.0894756658271,86.7574380239183,NA,NA,NA,92.956,94.2394825147062,NA,77.51039577,96.7342,NA,97.7742059018657,NA,NA,19.0769230769231,93.5977412573531,90.6729338906219,NA,93.5955412219889,90.1684834674384,NA,NA,NA
"58","Eswatini",70.1541,NA,NA,95.412026726,NA,35.2,NA,NA,94.29769,NA,"SWZ",NA,65.306013363,NA,NA,57.9525956343216,NA,NA,NA,58.8054,NA,NA,96.128364389,97.3251,35.9,NA,NA,96.69525,NA,NA,76.4511547963333,NA,NA,69.5115469042733,NA,NA,NA,64.5382,NA,NA,95.731895223,98.5669,35.5,73.8478909838982,NA,95.46937,43.0769230769231,NA,75.9116715517245,69.2731465384615,NA,70.5242621570985,64.1289849264146,NA,NA
"59","Timor-Leste",83.7666,NA,NA,72.5516582,NA,4.5,48.6578637406236,75.8,82.45848,20.3076923076923,"TLS",NA,41.9031739802079,59.5220574358974,NA,25.1383999482242,50.2560519961136,NA,NA,74.3052,NA,NA,73.64040205,NA,10.7,50.6868843960601,81.1,84.65051,24,NA,45.0090954820201,63.25017,NA,34.1820817523387,54.8218758302244,NA,NA,79.0487,75.1379148599096,NA,73.03189542,99.2517,6.90000000000001,49.3143791671908,78.45,83.53903,21.8461538461538,77.0933074299548,57.1244936467977,61.2783946153846,77.0685051780981,39.6294729756681,52.3141437356139,65.1653985640457,54.2631229335371
"60","Vanuatu",73.6542,NA,NA,NA,NA,NA,94.2166060234098,NA,95.97657,15.6923076923077,"VUT",NA,NA,55.8344388461538,NA,NA,38.80842521531,NA,NA,64.7548,NA,NA,NA,NA,NA,89.3212801469682,NA,96.59661,18.4615384615385,NA,NA,57.5290742307692,NA,NA,42.2293977078673,NA,NA,69.0311,NA,NA,NA,NA,NA,91.7956956485611,NA,96.28212,17.2307692307692,NA,NA,56.7564446153846,NA,NA,40.7310077308337,NA,NA
"61","Yemen",77.9454,89.4897709986689,89.4952367518041,49.86067074,91.3773,11.1,NA,NA,NA,6.46153846153846,"YEM",85.6434692501577,50.77932358,NA,85.4649289728114,36.9805306626778,NA,NA,NA,30.3098,88.6101299574908,63.0732086071823,53.83937578,89.2935,3.59999999999999,NA,NA,NA,6.76923076923077,60.6643795215577,48.9109585933333,NA,55.3312467768303,25.8666857913261,NA,NA,NA,55.2316,89.431851983893,86.7665383997486,50.14406342,91.2132,10.5,NA,NA,NA,6.46153846153846,77.1433301278805,50.6190878066667,NA,75.3952594531152,36.3486962652517,NA,NA,NA
"62","Bhutan",NA,85.721967332274,59.7357344066437,97.827009192,97.51,NA,NA,NA,93.27016,NA,"BTN",72.7288508694589,97.668504596,NA,71.5588196756746,97.6683759786756,NA,NA,NA,NA,77.5351898468409,51.0618281436547,97.444849221,97.12,NA,NA,NA,92.89112,NA,64.2985089952478,97.2824246105,NA,62.9212884407577,97.2822890167759,NA,NA,NA,NA,82.3995612748016,54.8291143047004,97.642695039,97.31,NA,NA,NA,93.09063,NA,68.614337789751,97.4763475195,NA,67.2152881701274,97.4762055798496,NA,NA,NA
"63","Lesotho",NA,100,NA,49.5103124,99.44,NA,NA,55.6,79.60804,NA,"LSO",NA,74.4751562,67.60402,NA,70.1662701378376,66.5297454075994,NA,NA,NA,100,NA,59.75341164,99.57,NA,NA,72.2,93.96988,NA,NA,79.66170582,83.08494,NA,77.1339561865901,82.3688371655204,NA,NA,NA,100,NA,53.4460446,99.49,NA,NA,63.9,86.6322,28.6153846153846,NA,76.4680223,59.7158615384615,NA,72.9201410945837,54.1078066806393,NA,NA
"64","Morocco",NA,72.6752887123223,NA,99.541836098,95.32,12.4,NA,NA,98.04,18.1538461538462,"MAR",NA,69.0872786993333,58.0969230769231,NA,49.0008697511981,42.1877123926278,NA,NA,NA,94.807526873568,NA,99.551038074,97.72,15.3,NA,NA,97.4,23.3846153846154,NA,70.8570126913333,60.3923076923077,NA,52.9956505082656,47.7248524194841,NA,NA,NA,80.9472353536802,NA,99.544062465,86.98,12.9,NA,NA,97.73,20.6153846153846,NA,66.4746874883333,59.1726923076923,NA,48.1587077323524,44.8858723705081,NA,NA
"65","Burkina Faso",NA,NA,NA,59.18782675,99.4305,1.5,NA,29.9,61.79,32.9230769230769,"BFA",NA,53.3727755833333,41.5376923076923,NA,20.667173820092,39.3275235761383,NA,NA,NA,98.8679351198282,95.5305987420601,63.84986109,98.7913,0.700000000000003,NA,39.5,54.67,30.7692307692308,97.1992669309442,54.4470536966667,41.6464102564103,97.1849424468027,16.4056043053106,40.5030383176217,64.4309102946737,40.1198781819795,NA,95.495685287031,94.9023050569727,61.07558558,99.0908,1.09999999999999,NA,24.8,58.29,32,95.1989951720019,53.75546186,38.3633333333333,95.1985328496951,18.8118375530884,35.8975854656946,62.4392634551117,40.0598117784848
"66","Central African Republic",NA,NA,NA,29.94385831,NA,NA,NA,NA,47.80493,NA,"CAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.83193139,NA,NA,NA,NA,28.70666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.36608751,NA,NA,NA,NA,38.26865,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Congo",NA,NA,NA,56.15675125,NA,NA,NA,82.5,85.34165,22.1538461538462,"COG",NA,NA,63.331832051282,NA,NA,53.829627323575,NA,NA,NA,NA,NA,56.6190065,NA,NA,NA,74,78.74231,21.2307692307692,NA,NA,57.9910264102564,NA,NA,49.8274352614876,NA,NA,NA,NA,NA,56.39232991,NA,NA,NA,78.25,82.05479,21.8461538461538,NA,NA,60.7169812820513,NA,NA,51.9582390981993,NA,NA
"68","Eritrea",NA,NA,NA,48.14662696,NA,NA,NA,NA,93.81868,NA,"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.70745408,NA,NA,NA,NA,92.71403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3291852,NA,NA,NA,NA,93.27239,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Guinea",NA,NA,NA,55.80105295,NA,NA,NA,49.5,56.97051,36,"GIN",NA,NA,47.49017,NA,NA,46.6501025007828,NA,NA,NA,NA,NA,65.91873756,NA,NA,NA,30.7,37.21018,29.8461538461538,NA,NA,32.5854446153846,NA,NA,32.426208674167,NA,NA,NA,NA,NA,61.59721549,NA,NA,NA,40.1,46.29505,33.2307692307692,NA,NA,39.8752730769231,NA,NA,39.5129791104006,NA,NA
"70","Guinea-Bissau",NA,NA,NA,36.29205735,NA,NA,NA,NA,71.25033,NA,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.48400073,NA,NA,NA,NA,49.75632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.87457595,NA,NA,NA,NA,60.40235,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Korea, Democratic People's Republic of",NA,NA,NA,77.71491772,NA,NA,NA,NA,NA,NA,"PRK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.14209384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.43175251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Somalia",NA,NA,NA,23.88143456,NA,NA,NA,NA,NA,NA,"SOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.93311135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.59636092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Syrian Arab Republic",NA,NA,NA,71.94076198,NA,NA,NA,NA,NA,NA,"SYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.82519699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.55293577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chad",NA,NA,NA,58.74610771,NA,NA,NA,47.9,40.69289,11.6923076923077,"TCD",NA,NA,33.4283992307692,NA,NA,28.3520692625735,NA,NA,NA,NA,NA,62.30346214,NA,NA,NA,25.1,22.38715,7.07692307692308,NA,NA,18.1880243589744,NA,NA,15.8430576268361,NA,NA,NA,NA,NA,60.54668964,NA,NA,NA,36.5,30.79161,10.1538461538462,NA,NA,25.8151520512821,NA,NA,22.5139629434067,NA,NA
"75","Tajikistan",NA,NA,NA,96.444263515,NA,NA,NA,NA,99.86,43.3846153846154,"TJK",NA,NA,71.6223076923077,NA,NA,65.8208758093334,NA,NA,NA,NA,NA,94.478403783,NA,NA,NA,95.8,99.9,45.5384615384615,NA,NA,80.4128205128205,NA,NA,75.8175565576328,NA,NA,NA,NA,NA,95.670444163,NA,NA,NA,NA,99.9,44.3076923076923,NA,NA,72.1038461538461,NA,NA,66.5307332105882,NA,NA
"76","Uzbekistan",NA,NA,NA,78.35011472,NA,NA,NA,NA,99.99996,NA,"UZB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.27225228,NA,NA,NA,NA,99.99996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.32144584,NA,NA,NA,NA,99.99996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,97.71246,NA,"STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.85418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.78255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,48.42514,NA,"SSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.90096,11.0769230769231,NA,NA,29.4889415384615,NA,NA,23.0346532257547,NA,NA
"79","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
