"","country","neet_male","relative_wc_male","mismatch_male","workingpov_male","underemp_male","informal_male","elementary_male","nosecondary_male","literacy_male","test_scores_male","country_code","transition_mean_male","working_conditions_mean_male","education_mean_male","transition_geom_male","working_conditions_geom_male","education_geom_male","index_mean_male","index_geom_male","neet_female","relative_wc_female","mismatch_female","workingpov_female","underemp_female","informal_female","elementary_female","nosecondary_female","literacy_female","test_scores_female","transition_mean_female","working_conditions_mean_female","education_mean_female","transition_geom_female","working_conditions_geom_female","education_geom_female","index_mean_female","index_geom_female","neet","relative_wc","mismatch","workingpov","underemp","informal","elementary","nosecondary","literacy","test_scores","transition_mean","working_conditions_mean","education_mean","transition_geom","working_conditions_geom","education_geom","index_mean","index_geom"
"11","Cameroon",89.4625,92.7122117992432,NA,85.26858248,88.18,4.3,93.9557072311995,67.6,87.72,23.3846153846154,"CMR",91.0873558996216,67.9260724277999,59.5682051282051,91.072862303157,41.7481937014189,51.7597118695376,72.8605444852089,58.1664879228209,76.9347,100,60.8137915624634,82.49439853,91.53,3.09999999999999,88.5974717048312,58.7,82.41,25.5384615384615,79.2494971874878,66.4304675587078,55.5494871794872,77.6321204406397,37.9483359203684,49.8047673327158,67.0764839752276,52.743429698979,82.9851,99.0615648364782,62.6224364057064,83.98514812,89.77,3.7,91.4170029659778,63.15,85.08,24.3076923076923,81.5563670807282,67.2180377714945,57.5125641025641,80.1453670167396,39.9613917575719,50.7358400442889,68.7623229849289,54.5688281565489
"12","Comoros",78.6474,63.5110240664414,NA,79.2,90.4331,NA,NA,66.9,78.23941,30.7692307692308,"COM",71.0792120332207,84.81655,58.6362135897436,70.6751506129491,84.6303817786497,54.4071664025374,71.5106585409881,68.7833066774676,66.8659,78.2472621648492,80.757717146718,81.82666293,90.4838,NA,NA,66.3,78.30236,26.7692307692308,75.2902931038557,86.155231465,57.1238635897436,75.0388137148544,86.0464258596808,51.7974154989242,72.8564627195331,69.4132366212926,72.4157,71.0864658499101,89.6213269218014,80.56809905,90.4557,NA,NA,66.6,78.27039,28.3076923076923,77.7078309239039,85.511899525,57.7260274358974,77.269898549063,85.368869016973,52.8435595957427,73.6485859616004,70.3775231175438
"13","Zambia",62.6964,88.5236204261569,95.281449978648,47.09971982,92.8055,14,69.8512299078783,58.8,92.55964,NA,"ZMB",82.1671568016016,55.9391124319696,75.67982,80.8667600160177,45.4698511919522,73.7733477076918,71.2620297445237,64.7337881946822,51.7783,79.7761293876258,78.8082434770894,48.786554,90.7968,10.8,76.6176619327816,57.4,91.62819,NA,70.1208909549051,56.7502539831954,74.514095,68.7908694935278,43.7553169479738,72.5221214940655,67.1284133127001,60.2112131611965,56.9544,85.841764323093,87.923779276642,47.92827786,91.9609,12.6,72.6964464724282,58.1,92.09157,17.8461538461538,76.9066478665783,56.2964060831071,56.0125746153846,75.4705337026688,44.8249373450658,45.7067365620553,63.0718761883567,53.6734002192822
"14","Philippines",85.621,86.808997870984,82.7705590781499,95.642653927,86.94,19.4,50.4446582542414,NA,98.90415,30.7692307692308,"PHL",85.0668523163779,63.1068280453104,64.8366903846154,85.0498677051784,53.4099341024735,55.1652482581617,71.0034569154346,63.0454507103657,74.2609,100,89.9254458430285,97.907313092,93.43,35.1,75.1962919189254,92.7,99.26673,36.3076923076923,88.0621152810095,75.4084012527314,76.0914741025641,87.407279376333,70.0972944309777,69.3895437750901,79.8539968787683,75.1936148367484,80.1098,94.303654092443,84.6864189639487,96.47179909,89.3,25.2,59.4385694661886,NA,99.0826,33.5384615384615,86.3666243521305,67.6025921390471,66.3105307692308,86.167331943404,59.9349547079654,57.6461444437594,73.4265824201362,66.7725093576761
"15","Uganda",78.5685,93.9811551040125,84.7752666728948,63.8883437,93.1558,2.90000000000001,84.8783304662895,41,88.8269,NA,"UGA",85.7749739256358,61.2056185415724,64.91345,85.543326588953,34.7901730407945,60.3481805856647,70.6313474890694,56.4203316940839,62.4252,96.2838579284403,66.4577896967656,62.38033386,92.6196,2.09999999999999,88.1062023606358,39.3,89.95064,NA,75.0556158750686,61.301534055159,64.62532,73.6466685912903,32.1546726938172,59.4563718368351,66.9941566434092,52.0233763206955,70.2039,95.214959860856,75.365618857991,63.16029049,92.9155,2.5,86.4891485515623,40.15,89.39631,29.8461538461538,80.2614929062824,61.2662347603906,53.1308212820513,79.5694884044578,33.5628227487656,47.4931715044207,64.8861829829081,50.2433674130817
"16","El Salvador",85.4782,79.8463211180915,85.8901874582368,99.077652377,93.9475,23.3,56.609880066948,NA,97.72745,21.5384615384615,"SLV",83.7382361921094,68.233758110987,59.6329557692308,83.6921278743665,59.1939433832615,45.8791774455136,70.5349833574424,61.0275359507859,60.8608,72.9127769731754,78.9193984817603,99.485163507,92.8341,24.7,75.9490092836359,NA,98.21068,16.6153846153846,70.8976584849786,73.242068197659,57.4130323076923,70.4868908011683,64.5165638691506,40.3956460715565,67.1842529967766,56.8466286962796,72.8514,77.3776579389262,81.5996136562971,99.220381854,93.5504,23.8,63.5212813158604,NA,97.97372,19.0769230769231,77.2762238650744,70.0230157924651,58.5253215384615,77.1934637037173,61.2048287957116,43.2323619525929,68.6081870653337,58.8922833645682
"17","Occupied Palestinian Territory",73.27,64.8039951174523,93.3531406285074,99.697522625,96.7421,13.4,66.330297024751,NA,99.29223,30.4615384615385,"PSE",77.1423785819866,69.0424799124378,64.8768842307692,76.2463342224453,54.1102018989131,54.9963097223525,70.3539142417312,60.9926108258489,59.6047,51.8185932129846,NA,99.815645548,97.4565,20.3,92.1650460581294,NA,99.38239,38.1538461538462,55.7116466064923,77.4342979015323,68.7681180769231,55.5754595381989,65.3157515126245,61.5777591217928,67.3046875283159,60.6887636771417,66.593,67.9248658838882,81.2936079059067,99.708225913,96.807,14.1,68.7691621782027,NA,99.33625,34.4615384615385,71.9371579299316,69.8460970228007,66.8988942307692,71.6425863962578,55.3111450338362,58.5088027565084,69.5607163945005,61.432997385947
"18","Mozambique",NA,97.8484328653361,73.9986673559703,50.42065541,89.0267,62.4,88.1149168086233,46.4,77.26017,20,"MOZ",85.9235501106532,72.4905680546558,47.8867233333333,85.0920303841964,70.4840250459182,41.5433210486087,68.7669471662141,62.9255371852586,NA,98.2057852540998,51.5713377535642,40.82538831,90.8768,68.7,96.1988474334601,39.4,65.48977,21.8461538461538,74.888561503832,74.150258935865,42.2453079487179,71.1660292604075,70.368369641753,38.342599941293,63.7613761294717,57.6913356936764,NA,98.0790371653562,64.4340814042863,45.56677204,90.001,64.9,92.3723106386039,40.65,70.91245,20.9230769230769,81.2565592848213,73.210020669651,44.1618423076923,79.4961172936553,70.415866169374,39.2165631723287,66.2094740873882,60.3247213759295
"19","Tunisia",80.5897,NA,90.7371929831529,99.92910495,NA,14.8,61.3941759708672,NA,96.61184,24.9230769230769,"TUN",85.6634464915765,58.7077603069557,60.7674584615385,85.5130584259176,44.9462671899623,49.0699940900751,68.3795550866902,57.3474385616974,68.7586,NA,73.7937210777543,99.940079014,NA,22.1,NA,NA,95.80119,26.4615384615385,71.2761605388771,61.020039507,61.1313642307692,71.2316850151453,46.9965503649938,50.3492489898921,64.4758547588821,55.2387783597602,74.7832,NA,87.2687799981065,99.932326075,NA,16.9,67.2515811048836,NA,96.2091,25.8461538461538,81.0259899990533,61.3613023932945,61.0276269230769,80.7851386602412,48.4282081132899,49.8661729030813,67.8049731051416,57.9978602427144
"20","Togo",81.7203,79.4773872082113,76.3877292164613,53.72910316,98.0331,3.59999999999999,87.7985663346093,75.2,89.67247,25.8461538461538,"TGO",79.1951388082242,60.7901923736523,63.5728746153846,79.1648472023312,35.9205570625658,55.8587182499421,67.8527352657537,54.1571085155085,68.4656,90.2746611109794,49.4014598128035,63.62299103,96.2989,5.3,85.1496832993557,61,78.37085,25.5384615384615,69.380573641261,62.5928935823389,54.9697705128205,67.3378670609623,40.7777800283694,49.6089126216105,62.3144125788068,51.4534161475632,74.9225,86.259662532127,76.9999485096296,58.70292627,97.0263,4.40000000000001,86.2607447023129,64.75,84.29011,25.8461538461538,79.3940370139189,61.5974927430782,58.2954212820513,79.2446861966247,38.3445614613943,52.05599749316,66.4289836796828,54.0814382350688
