"","country","neet","relative_wc","mismatch","workingpov","underemp","informal","elementary","nosecondary","literacy","test_scores","country_code","transition_mean","working_conditions_mean","education_mean","transition_geom","working_conditions_geom","education_geom","index_mean","index_geom"
"17","Cameroon",82.9851,99.0615648364782,62.6224364057064,83.98514812,89.77,3.7,91.4170029659778,63.15,85.08,24.3076923076923,"CMR",81.5563670807282,67.2180377714945,57.5125641025641,80.1453670167396,39.9613917575719,50.7358400442889,68.7623229849289,54.5688281565489
"18","Myanmar",86.3988,61.5810365269813,73.5291810991681,96.396590796,95.6728,6,72.6248602558759,66.95,84.75116,38.4615384615385,"MMR",73.8363392087164,67.673562762969,63.3875661538462,73.1371688639387,44.7735654405192,60.2061645876406,68.2991560418439,58.2014219657276
"19","India",69.5854,82.7853989726302,71.2506841286472,85.44511257,91.9328861402095,3.8,82.0266987122826,84.3,91.66404,16.9230769230769,"IND",74.5404943670925,65.801174355623,64.2957056410256,74.316794834385,39.5570810934733,50.7577036594347,68.212458121247,53.04010699551
"20","Honduras",73.3187,91.2903096840085,78.6431783049396,86.87999005,87.7238,11.2,56.023227769684,57.2,96.51584,30.7692307692308,"HND",81.0840626629827,60.456754454921,61.4950235897436,80.742123000868,46.7633738808318,55.3822277008015,67.6786135692158,59.3552047484701
"21","Comoros",72.4157,71.0864658499101,89.6213269218014,80.56809905,90.4557,6.60214525717239,82.6199667561711,66.6,78.27039,28.3076923076923,"COM",77.7078309239039,65.0614777658359,57.7260274358974,77.269898549063,44.6521409220657,52.8435595957427,66.8317787085457,56.7041569218855
"22","Togo",74.9225,86.259662532127,76.9999485096296,58.70292627,97.0263,4.40000000000001,86.2607447023129,64.75,84.29011,25.8461538461538,"TGO",79.3940370139189,61.5974927430782,58.2954212820513,79.2446861966247,38.3445614613943,52.05599749316,66.4289836796828,54.0814382350688
"23","Lao People's Democratic Republic",57.9248,62.874000202001,91.1627373948674,87.31255987,97.6159,9.90000000000001,88.6304920829868,58.7994078104994,92.46264,20.9230769230769,"LAO",70.6538458656228,70.8647379882467,57.3950415778588,69.2443480847776,52.2942465110413,48.4531032971423,66.3045418105761,55.982627704407
"24","Bangladesh",72.6137,82.7423473323846,70.9792852210964,89.6844976,95.9964,2.2,84.5248016490559,50.95,93.29644,20.9230769230769,"BGD",75.4451108511603,68.101424812264,55.0565056410256,75.2707092916007,35.5708949380629,46.3317037531161,66.20101376815,49.8730992213866
"25","Ghana",69.5398,78.3331340075374,73.0303781531853,88.12388858,83.2625,7.40000000000001,91.1689397361053,76.95,92.49097,2.15384615384615,"GHA",73.6344373869076,67.4888320790263,57.1982720512821,73.5463001345728,47.1688655039469,24.8412938659513,66.1071805057387,44.1702805447172
"26","Mozambique",75.228058,98.0790371653562,64.4340814042863,45.56677204,90.001,64.9,92.3723106386039,40.65,70.91245,20.9230769230769,"MOZ",79.2470588565475,73.210020669651,44.1618423076923,78.0471823150744,70.415866169374,39.2165631723287,65.5396406112969,59.955969275326
"27","Timor-Leste",79.0487,75.1379148599096,75.9489784589466,73.03189542,99.2517,6.90000000000001,49.3143791671908,78.45,83.53903,21.8461538461538,"TLS",76.7118644396187,57.1244936467977,61.2783946153846,76.6935079157987,39.6294729756681,52.3141437356139,65.0382509006003,54.1749692590239
"28","Uganda",70.2039,95.214959860856,75.365618857991,63.16029049,92.9155,2.5,86.4891485515623,40.15,89.39631,29.8461538461538,"UGA",80.2614929062824,61.2662347603906,53.1308212820513,79.5694884044578,33.5628227487656,47.4931715044207,64.8861829829081,50.2433674130817
"29","Sudan",67.1898,82.7234940992175,74.3823036983484,94.90855505,95.7027001880204,5.40000000000001,84.864928951069,50.1599231754161,73,24.6153846153846,"SDN",74.7651992658553,70.2190460472723,49.2584359302669,74.4961704039258,45.1687311825037,44.8361984705351,64.7475604144649,53.2353614663984
"30","Burkina Faso",89.426188,95.495685287031,94.9023050569727,61.07558558,99.0908,1.09999999999999,80.9731088376987,24.8,58.29,32,"BFA",93.2747261146679,60.5598736044247,38.3633333333333,93.2341629951221,27.0962142904063,35.8975854656946,64.065977684142,44.9279198052984
