ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2004,8.84,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2005,35.64,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2005,8.78,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2006,73.78,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2006,19.7,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2007,72.51,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2007,20.83,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2008,101.44,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2008,33.18,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2009,121.12,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2009,40.89,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2010,116.16,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2010,42.16,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2011,111.39,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2011,43.34,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2012,208.43,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2012,78.19,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2013,197.44,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2013,79.92,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2015,278.4,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2015,110.73,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2016,284.3,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2016,110.78,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2017,287.19,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2017,109.16,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2018,352.4,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2018,130.93,Currency: LAO - Kip (LAK),
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2019,126.74,Currency: LAO - Kip (LAK),
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,1996,190.91,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,1997,194.87,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,1998,197.87,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,1999,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2000,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2001,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2002,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2003,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2004,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2005,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2006,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2007,199,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2008,636.42,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2008,331.67,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2009,626.67,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2009,331.67,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2010,612.55,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2010,331.67,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2011,601.96,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2011,331.67,Currency: LBN - Lebanese pound (LBP),Repository: Media Reports
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2015,850.29,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2015,447.76,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2016,886.23,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2016,447.76,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2017,886.02,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2017,447.76,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: 2017 PPP $,2018,855.66,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2018,447.76,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Lebanon,Statutory nominal gross monthly minimum wage,LBN - ADM - Labour legislation,Currency: U.S. dollars,2019,447.76,Currency: LBN - Lebanese pound (LBP) | Type of minimum wage: Singular national minimum wage,
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: 2017 PPP $,2009,455.34,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: U.S. dollars,2009,199.44,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: 2017 PPP $,2010,450.21,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: U.S. dollars,2010,197.35,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: 2017 PPP $,2011,402.03,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: U.S. dollars,2011,204.22,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: 2017 PPP $,2012,427.38,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: U.S. dollars,2012,198.15,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: 2017 PPP $,2013,840.5,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Libya,Statutory nominal gross monthly minimum wage,LBY - ADM - Labour legislation,Currency: U.S. dollars,2013,353.86,Currency: LBY - Libyan dinar (LYD),Repository: Media Reports | Institutional sector coverage: Public sector only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,1996,113.14,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,1996,32.39,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,1997,109.39,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,1997,31.41,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,1998,109.8,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,1998,31.08,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,1999,114.07,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,1999,30.18,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,2000,116.02,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
